Key,English,Spanish
item.collectablepage,Collectable,Recolectables
item.carrot,Carrot,Zanahoria
item.horn,Horn,Bocina
item.mate,Mate,Mate
item.onigiri,Onigiri,Onigiri
item.potion,Potion,Poción
item.vodka,Vodka,Vodka
item.wrench,Wrench,Llave
item.skinpage,Skin,Disfraz
item.alien,Alien,Alienígena
item.clown,Clown,Payaso
item.cool,Cool,Playero
item.gaucho,Cowman,Gaucho
item.mage,Wizard,Mago
item.ninja,Ninja,Ninja
item.nono,None,Nada
item.goalpage,Goal,Meta
item.circus,Circus,Circo
item.guachohouse,Cowman Ranch,Rancho de Gaucho
item.nordelta,Nordelta City,Nordelta
item.tori,Tori,Tori
item.ufo,UFO,OVNI
item.wizardtower,Wizard Tower,Torre del mago
item.nonegoal,None,Nada
item.noneskin,None,Nada
item.nonecollectable,None,Nada
item.gift,Gift,Regalo
item.santaclaus,Santa Claus,Papa Noel
item.christmashouse,Santa Claus Home,Casa navideña
